구분,Unnamed: 1,Unnamed: 2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,95% CI
인천,남,,,,,,,,,,,2.6(0.3),3.9(0.4),2.3(0.2),2.6(0.3),2.5(0.3),3.4(0.3),3.7(0.3),4.2(0.4),3.4-4.9
인천,여,,,,,,,,,,,5.0(0.4),6.0(0.4),4.8(0.4),4.6(0.3),5.1(0.4),5.8(0.4),5.6(0.4),6.2(0.4),5.4-7.1
인천,19-29,,,,,,,,,,,4.6(0.6),4.8(0.7),4.1(0.6),3.9(0.6),4.3(0.7),5.0(0.7),5.0(0.7),5.9(1.0),4.0-7.7
인천,30-39,,,,,,,,,,,3.9(0.6),4.0(0.7),3.6(0.5),4.8(0.7),4.2(0.6),5.7(0.7),4.7(0.6),5.3(0.7),3.9-6.7
인천,40-49,,,,,,,,,,,2.8(0.4),3.2(0.6),2.7(0.4),2.1(0.4),2.5(0.5),3.2(0.5),3.8(0.6),3.5(0.5),2.5-4.6
인천,50-59,,,,,,,,,,,3.2(0.6),5.5(0.7),2.9(0.5),2.9(0.4),3.6(0.5),3.0(0.5),2.9(0.5),3.5(0.5),2.5-4.6
인천,60-69,,,,,,,,,,,4.2(0.9),5.3(0.7),2.9(0.5),4.4(0.6),2.8(0.4),4.2(0.5),4.0(0.5),4.2(0.6),3.1-5.4
인천,70이상,,,,,,,,,,,5.3(0.8),9.1(1.0),6.1(0.8),4.1(0.6),6.5(0.7),8.0(0.6),9.3(0.9),10.5(0.9),8.7-12.3
광주,N,(명),,,,,,,,,,"4,579","4,564","4,551","4,607","4,602","4,564","4,566","4,566",
광주,전체,(조율),,,,,,,,,,4.3(0.4),3.4(0.3),3.0(0.3),2.9(0.2),3.7(0.3),3.7(0.3),4.5(0.3),3.5(0.3),2.9-4.0
광주,,(표준화율),,,,,,,,,,4.1(0.3),3.2(0.3),3.0(0.3),2.7(0.2),3.6(0.3),3.6(0.3),4.3(0.3),2.9(0.3),2.4-3.4
광주,남,,,,,,,,,,,2.6(0.3),2.4(0.3),2.1(0.3),2.0(0.3),2.4(0.3),2.9(0.4),3.3(0.4),2.8(0.4),2.1-3.6
광주,여,,,,,,,,,,,5.9(0.6),4.4(0.4),3.8(0.4),3.7(0.4),5.0(0.5),4.5(0.4),5.7(0.5),4.0(0.4),3.3-4.8
광주,19-29,,,,,,,,,,,6.0(1.1),3.4(0.8),3.2(0.7),2.2(0.4),3.7(0.7),5.2(0.8),4.6(0.8),2.9(0.7),1.4-4.3
광주,30-39,,,,,,,,,,,2.4(0.6),1.9(0.6),3.9(0.6),2.6(0.7),3.7(0.7),2.7(0.6),3.8(0.8),2.0(0.6),0.9-3.1
광주,40-49,,,,,,,,,,,2.2(0.6),3.0(0.6),1.8(0.4),1.8(0.5),2.8(0.6),2.3(0.4),3.8(0.6),1.7(0.4),1.0-2.4
광주,50-59,,,,,,,,,,,4.5(0.7),2.9(0.6),2.2(0.5),2.7(0.5),2.4(0.6),3.6(0.7),4.0(0.7),2.6(0.5),1.7-3.6
광주,60-69,,,,,,,,,,,5.2(1.0),4.1(0.8),3.7(0.8),2.4(0.6),4.4(0.9),2.8(0.5),4.1(0.6),3.3(0.7),1.9-4.7
광주,70이상,,,,,,,,,,,7.9(1.1),6.7(1.1),4.0(0.8),7.3(0.9),6.9(1.0),6.4(0.8),7.5(1.0),9.4(1.6),6.3-12.5
대전,N,(명),,,,,,,,,,"4,569","4,572","4,571","4,574","4,604","4,593","4,580","4,592",
대전,전체,(조율),,,,,,,,,,3.0(0.3),2.3(0.2),2.0(0.3),1.9(0.2),3.0(0.3),3.6(0.3),2.9(0.3),3.4(0.3),2.8-3.9
대전,,(표준화율),,,,,,,,,,3.0(0.3),2.1(0.2),2.1(0.3),2.0(0.2),3.1(0.3),3.5(0.3),2.9(0.3),3.3(0.3),2.7-3.9
대전,남,,,,,,,,,,,2.6(0.4),1.6(0.3),1.3(0.3),1.3(0.3),2.4(0.4),2.9(0.4),2.0(0.4),2.5(0.3),1.8-3.1
대전,여,,,,,,,,,,,3.4(0.4),2.9(0.4),2.7(0.4),2.5(0.3),3.6(0.4),4.2(0.4),3.9(0.4),4.3(0.4),3.4-5.2
대전,19-29,,,,,,,,,,,5.2(1.0),3.4(0.7),3.0(0.8),2.6(0.6),3.0(0.8),4.5(0.9),3.1(0.7),3.9(0.8),2.4-5.4
대전,30-39,,,,,,,,,,,2.6(0.6),1.0(0.4),2.3(0.6),2.2(0.5),3.3(0.6),3.0(0.6),3.1(0.7),3.7(0.8),2.2-5.2
대전,40-49,,,,,,,,,,,1.3(0.4),0.9(0.3),1.8(0.4),1.3(0.4),3.1(0.7),2.4(0.6),2.2(0.5),2.1(0.5),1.2-3.1
대전,50-59,,,,,,,,,,,2.0(0.5),2.7(0.7),1.0(0.4),1.9(0.4),2.3(0.5),2.6(0.5),2.6(0.5),2.5(0.5),1.5-3.6
대전,60-69,,,,,,,,,,,1.3(0.3),1.3(0.4),1.2(0.4),1.4(0.4),2.0(0.5),3.2(0.6),1.9(0.5),3.0(0.5),2.0-4.0
대전,70이상,,,,,,,,,,,7.1(1.5),5.1(0.9),3.0(0.7),2.0(0.5),4.9(0.9),6.5(0.9),5.7(1.2),5.9(0.9),4.1-7.7
울산,N,(명),,,,,,,,,,"4,542","4,551","4,551","4,555","4,554","4,544","4,546","4,547",
울산,전체,(조율),,,,,,,,,,1.5(0.2),2.7(0.3),2.4(0.2),2.4(0.3),2.8(0.3),4.2(0.4),3.9(0.3),3.8(0.3),3.2-4.4
울산,,(표준화율),,,,,,,,,,1.6(0.2),2.9(0.3),2.5(0.3),2.7(0.3),2.8(0.3),4.6(0.4),4.3(0.4),4.1(0.4),3.3-4.8
울산,남,,,,,,,,,,,1.2(0.3),1.7(0.3),1.3(0.3),1.6(0.3),1.8(0.3),2.8(0.4),3.4(0.5),2.1(0.3),1.4-2.7
울산,여,,,,,,,,,,,1.8(0.3),3.8(0.4),3.5(0.4),3.4(0.4),3.9(0.4),5.6(0.6),4.4(0.4),5.7(0.5),4.7-6.7
울산,19-29,,,,,,,,,,,1.6(0.6),3.1(0.7),2.9(0.7),3.6(0.7),3.8(0.8),5.6(1.2),6.7(1.3),4.0(0.9),2.2-5.9
울산,30-39,,,,,,,,,,,2.1(0.6),2.9(0.7),2.8(0.6),3.6(0.8),1.8(0.5),5.3(1.0),4.6(0.8),5.1(0.9),3.4-6.9
