시도,시군구,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울,은평구,9.5(1.1),6.9(0.8),5.9(0.7),9.1(0.9),7.6(0.8),8.6(0.9),8.8(1.0),7.1(0.8),8.1(0.9),9.3(0.9),7.9(0.9),9.2(0.9),6.1(0.7),7.8(0.8),8.7(1.0),8.7(0.9),11.1(1.1)
서울,종로구,6.4(0.6),6.3(0.8),8.3(0.9),8.3(1.0),6.3(0.7),7.1(0.8),7.0(0.8),7.6(0.8),6.6(0.7),8.0(0.7),8.3(0.9),8.7(1.0),8.6(1.0),9.5(0.9),8.9(1.0),8.4(0.9),7.6(0.7)
서울,중구,6.0(0.7),8.4(1.1),7.2(0.9),6.9(0.8),8.7(0.9),8.7(1.0),8.9(1.0),9.0(1.0),8.6(1.0),7.2(0.8),6.6(0.7),10.2(1.0),8.0(0.9),7.3(0.9),7.8(0.8),7.5(0.8),8.1(0.9)
서울,중랑구,7.2(0.8),6.5(0.8),7.4(0.9),8.6(0.9),9.0(1.0),8.5(0.9),9.3(0.9),8.3(0.9),9.3(1.0),7.6(0.8),8.2(0.8),10.3(1.1),11.3(1.2),8.8(1.0),9.4(0.9),11.2(1.1),7.6(0.8)
부산,강서구,6.5(0.8),6.1(0.8),7.6(1.0),6.8(0.9),7.7(1.1),6.0(0.8),9.4(1.1),5.7(0.7),7.2(0.8),6.7(0.9),7.5(0.8),6.5(0.7),6.0(0.8),6.4(0.8),7.6(0.9),7.9(1.0),8.7(0.9)
부산,금정구,4.6(0.9),5.6(0.7),6.2(0.8),6.6(0.8),6.3(0.9),6.8(0.7),5.8(0.7),7.9(1.0),7.4(0.8),6.4(0.8),7.1(0.8),5.8(0.6),7.9(0.8),7.7(0.8),7.9(0.8),7.6(0.9),8.1(0.9)
부산,기장군,8.3(0.8),7.4(1.0),6.8(0.8),7.5(0.8),6.0(0.8),8.7(1.0),6.6(0.9),10.5(1.1),7.8(0.8),9.0(0.9),6.6(0.8),8.3(0.8),8.0(1.0),6.2(0.8),8.1(0.9),7.1(0.9),9.0(0.9)
부산,남구,6.8(0.7),5.4(0.7),5.5(0.7),8.2(0.9),7.1(0.8),7.9(0.8),7.0(0.8),8.5(0.9),8.9(0.9),8.2(0.9),8.1(0.9),6.9(0.8),8.9(0.9),7.8(0.9),9.0(1.0),9.2(0.9),8.0(1.0)
부산,동구,5.4(0.7),6.9(0.8),6.8(0.8),7.7(0.8),7.1(0.8),7.0(0.7),7.2(0.8),10.2(1.1),7.3(0.7),8.8(1.0),8.3(0.8),10.5(1.2),9.7(1.0),10.4(1.1),8.5(1.0),6.8(0.8),10.8(1.1)
부산,동래구,7.9(0.7),6.3(0.8),6.5(0.8),6.2(0.8),5.7(0.7),5.8(0.7),8.0(0.9),7.8(0.8),7.6(0.8),6.6(0.8),6.2(0.8),6.9(0.8),6.9(0.8),7.0(0.8),9.4(0.9),8.1(0.8),6.6(0.8)
