시도,시군구,2017,2018,2019,2020,2021,2022,2023,2024
경기,과천시,3.6,2.3,2.2,3.2,3.8,4.4,1.9,4.2
경기,구리시,2.4,2.0,1.6,1.4,3.2,1.0,2.8,3.0
경기,김포시,1.9,4.4,2.8,3.9,4.7,3.2,2.6,4.9
경기,남양주시,2.7,4.3,2.0,3.3,2.9,3.8,3.0,3.3
경기,남양주시 남양주,,,2.7,2.4,2.8,3.8,1.8,2.4
경기,남양주시 풍양,,,0.8,5.0,3.2,3.8,5.4,4.7
경기,동두천시,1.2,2.1,1.8,1.5,3.1,4.8,2.1,6.7
경기,부천시,3.4,2.5,3.5,3.8,5.1,5.4,5.8,5.3
경기,부천시 소사,2.3,2.5,3.6,2.6,5.1,5.1,6.0,5.6
경기,부천시 오정,4.2,2.5,4.0,5.2,4.5,5.5,4.9,4.8
경기,부천시 원미,3.7,2.5,3.2,4.0,5.3,5.5,5.8,5.4
경기,양주시,1.9,1.6,3.3,1.5,5.0,4.0,3.6,3.1
경기,양평군,2.9,3.8,2.6,2.6,2.9,4.6,4.8,2.2
경기,여주시,5.0,5.5,4.9,4.0,4.2,5.4,6.3,6.5
경기,연천군,1.3,0.9,1.2,2.8,4.0,2.3,2.3,5.8
경기,의정부시,4.2,1.5,2.8,3.1,4.6,4.6,4.3,3.5
경기,이천시,2.4,3.5,2.4,4.5,2.3,2.9,1.9,3.9
경기,파주시,0.8,2.8,4.2,4.8,3.7,3.0,2.6,2.3
경기,포천시,5.9,4.6,2.5,4.8,5.8,3.5,4.3,6.6
경기,하남시,1.4,2.1,1.0,1.8,0.9,2.4,2.1,3.3
경기,광명시,2.6,3.1,2.7,2.3,2.6,2.6,4.1,2.1
경기,광주시,1.4,1.0,1.0,0.8,1.6,1.4,1.8,2.3
경기,군포시,2.2,5.1,3.9,1.9,3.0,3.6,3.1,3.6
경기,성남시,4.0,2.8,2.2,2.4,2.5,3.2,3.0,4.9
경기,성남시 분당구,3.7,3.3,2.5,2.8,2.7,3.2,3.5,5.3
경기,성남시 수정구,5.2,2.8,2.0,1.8,2.9,4.0,3.0,4.0
경기,성남시 중원구,3.2,2.0,1.6,2.3,1.6,2.1,1.9,5.2
경기,수원시,4.2,2.9,5.1,3.6,3.8,4.3,5.8,4.0
경기,수원시 권선구,3.9,3.6,4.4,4.7,4.9,4.8,6.5,5.1
경기,수원시 영통구,5.7,3.5,6.9,3.1,3.2,3.1,5.3,3.0
경기,수원시 장안구,4.2,1.8,5.1,4.4,4.6,4.6,4.6,2.6
경기,수원시 팔달구,2.5,1.7,3.2,0.5,2.1,4.7,6.7,5.6
경기,시흥시,2.1,3.2,3.0,5.5,4.9,2.9,4.0,6.2
경기,안산시,4.2,5.5,6.0,5.7,5.1,6.9,7.4,5.8
경기,안산시 단원구,5.7,4.7,5.9,5.7,5.0,5.6,6.6,4.7
경기,안산시 상록구,2.8,6.2,5.9,5.5,5.1,8.1,8.0,6.8
경기,안성시,4.3,2.3,4.2,6.3,5.6,8.5,6.1,7.5
경기,안양시,2.9,3.9,2.6,2.9,4.3,4.0,2.5,3.8
경기,안양시 동안구,2.8,3.8,2.5,2.1,4.3,2.9,1.8,3.7
경기,안양시 만안구,3.1,4.1,2.7,4.0,4.2,5.4,3.4,4.0
경기,오산시,2.8,4.4,3.2,3.2,5.6,3.9,4.1,5.7
경기,용인시,3.0,2.7,2.4,1.8,3.3,2.3,2.5,3.0
경기,용인시 기흥구,1.8,1.8,1.6,2.4,4.5,2.2,2.5,2.8
경기,용인시 수지구,4.5,4.7,3.1,1.7,3.1,2.8,2.1,2.3
경기,용인시 처인구,3.2,1.0,2.6,1.0,1.5,1.7,3.0,4.5
경기,의왕시,3.5,3.8,3.8,2.8,2.8,3.7,3.9,5.7
경기,평택시,5.3,3.7,3.9,3.8,3.6,5.0,5.4,4.7
경기,평택시 송탄,5.1,5.5,2.5,3.8,3.2,3.8,6.8,6.1
경기,평택시 평택,5.4,2.8,4.6,3.8,3.8,5.6,4.7,3.8
경기,화성시,2.2,1.9,3.1,4.1,2.8,4.2,4.0,4.9
경기,화성시 서부,,,,,,5.7,5.0,5.9
경기,화성시 동탄,,,,,,2.7,3.3,5.0
경기,화성시 동부,,,,,,4.3,2.6,4.1
강원,강릉시,5.0,2.8,3.4,3.5,4.5,4.3,4.0,5.0
강원,고성군,1.8,1.1,1.3,0.0,0.6,0.3,1.2,3.4
강원,동해시,4.5,3.2,2.8,1.8,1.6,3.0,2.3,1.7
강원,삼척시,2.0,5.1,2.6,5.5,4.2,3.1,3.3,2.8
강원,속초시,0.1,0.8,0.5,0.7,0.5,2.1,2.0,3.4
강원,양구군,1.0,2.5,2.6,1.5,1.9,3.9,3.7,1.9
강원,양양군,2.0,1.1,0.7,2.2,1.4,3.3,3.8,5.0
강원,영월군,5.7,1.1,3.3,2.5,3.2,5.7,5.6,6.4
강원,원주시,3.4,4.5,5.8,5.4,5.2,6.1,5.5,4.9
강원,인제군,0.2,2.0,2.4,2.4,3.6,2.3,1.5,2.9
강원,정선군,2.7,3.4,1.2,4.0,4.0,3.5,1.4,2.4
강원,철원군,0.8,0.8,2.3,1.0,1.1,2.5,1.7,5.6
강원,춘천시,1.8,2.3,4.2,2.8,3.4,3.4,4.4,4.9
강원,태백시,4.0,1.5,4.6,3.2,2.0,3.6,3.8,1.6
강원,평창군,3.4,3.8,3.2,1.4,3.1,4.3,2.8,3.1
강원,홍천군,3.1,3.5,4.4,3.4,4.6,2.9,4.3,4.7
강원,화천군,1.7,1.7,1.3,0.9,2.7,1.5,3.1,2.6
강원,횡성군,5.2,2.1,0.9,2.8,2.5,1.3,1.9,2.2
충북,괴산군,4.5,1.8,0.4,3.3,1.9,1.4,6.0,7.5
충북,단양군,3.3,3.7,2.0,1.7,1.7,2.3,3.6,2.6
충북,보은군,3.0,3.5,3.9,2.3,2.9,4.0,4.1,4.1
충북,영동군,2.0,1.8,1.4,0.5,0.9,3.1,4.2,2.5
충북,옥천군,2.4,0.7,1.9,3.1,5.7,4.7,4.8,2.8
